steer,nombre,vitesse
0.32,25452,22
0.28,25453,22
0.20,25454,22
0.20,25455,22
0.17,25456,21
0.15,25457,21
0.13,25458,21
0.11,25459,21
0.10,25460,21
0.08,25461,21
0.07,25462,20
0.06,25463,20
0.06,25464,20
0.05,25465,20
0.04,25466,20
0.03,25468,20
0.03,25467,20
0.02,25469,21
0.01,25470,22
0.00,25472,22
0.00,25471,22
0.01,25473,22
0.01,25474,22
0.00,25475,22
0.01,25476,22
0.01,25478,22
0.01,25477,22
0.01,25479,22
0.01,25481,21
0.01,25480,22
0.00,25482,21
0.01,25483,21
0.01,25484,21
0.01,25485,21
0.01,25486,20
0.01,25487,20
0.01,25488,20
0.01,25489,20
0.01,25490,20
0.00,25491,20
-0.01,25493,21
-0.00,25492,20
-0.01,25495,22
-0.01,25494,22
-0.01,25496,22
-0.01,25497,22
-0.01,25498,22
0.00,25500,22
-0.00,25499,22
0.01,25501,22
0.01,25503,22
0.01,25502,22
0.01,25504,22
0.01,25505,21
0.00,25506,21
0.00,25507,21
0.00,25508,21
0.01,25509,21
0.01,25510,21
0.01,25511,20
0.00,25512,20
0.00,25513,20
0.01,25514,20
0.01,25515,20
0.00,25516,20
-0.01,25518,21
-0.01,25517,21
-0.01,25519,22
-0.01,25520,22
-0.01,25522,22
-0.01,25521,22
-0.00,25523,22
0.01,25524,22
0.01,25525,22
0.01,25526,22
0.01,25527,22
0.00,25528,22
0.01,25529,22
0.01,25530,21
0.01,25531,21
0.00,25532,21
0.00,25533,21
0.01,25534,21
0.01,25535,20
0.01,25536,20
0.00,25537,20
0.01,25539,20
0.01,25538,20
0.01,25540,20
-0.01,25543,21
-0.01,25542,21
-0.01,25544,22
-0.01,25545,22
-0.01,25546,22
-0.00,25547,22
-0.00,25548,22
-0.00,25549,22
0.01,25550,22
0.01,25551,22
0.01,25552,22
0.00,25553,22
0.01,25555,21
0.00,25554,21
0.01,25556,21
0.01,25557,21
0.00,25558,21
0.00,25559,20
0.01,25560,20
0.01,25561,20
0.01,25562,20
0.00,25564,20
0.01,25563,20
0.01,25565,20
-0.00,25566,21
-0.01,25567,21
-0.01,25568,22
-0.01,25569,22
-0.00,25570,22
-0.00,25571,22
0.00,25574,22
0.00,25573,22
-0.00,25572,22
0.01,25575,22
0.01,25576,22
0.01,25577,22
0.00,25579,21
0.00,25578,21
0.01,25580,21
0.01,25581,21
0.01,25582,21
0.00,25583,21
0.00,25584,20
0.01,25585,20
0.01,25586,20
0.00,25587,20
0.00,25588,20
-0.01,25589,21
-0.01,25590,21
-0.01,25591,21
-0.01,25592,22
-0.01,25593,22
-0.01,25594,22
-0.01,25595,22
0.00,25597,22
-0.00,25596,22
0.01,25598,22
0.00,25600,22
0.01,25599,22
0.01,25601,22
0.01,25602,22
0.01,25603,21
0.00,25604,21
0.01,25605,21
0.01,25606,21
0.01,25607,21
0.00,25609,20
0.00,25608,20
0.00,25610,20
0.01,25611,20
0.01,25612,20
0.01,25613,20
0.00,25614,20
-0.01,25616,22
-0.01,25617,22
-0.01,25615,21
-0.01,25618,22
-0.01,25620,22
-0.01,25619,22
-0.00,25621,22
0.01,25622,22
0.01,25623,22
0.00,25624,22
0.00,25625,22
0.01,25626,21
0.01,25628,21
0.01,25627,21
0.00,25629,21
0.00,25630,21
0.01,25631,21
0.01,25632,20
0.01,25633,19
0.04,25634,15
-0.16,25636, 7
-0.16,25637, 3
-0.10,25635, 7
-0.11,25639, 0
-0.11,25638, 0
-0.11,25640, 0
-0.11,25642, 0
-0.11,25641, 0
-0.11,25643, 0
-0.11,25645, 0
-0.11,25646, 0
-0.11,25644, 0
-0.11,25648, 0
-0.11,25649, 0
-0.11,25650, 0
-0.11,25651, 0
-0.11,25652, 0
-0.11,25653, 0
-0.11,25654, 0
-0.11,25655, 0
-0.11,25656, 0
-0.11,25657, 0
-0.11,25659, 0
-0.11,25658, 0
-0.11,25660, 0
-0.11,25661, 0
-0.11,25662, 0
-0.11,25663, 0
-0.11,25665, 0
-0.11,25664, 0
-0.11,25666, 0
-0.11,25668, 0
-0.11,25667, 0
-0.11,25669, 0
-0.11,25670, 0
-0.11,25671, 0
-0.11,25673, 0
-0.11,25672, 0
-0.11,25674, 0
-0.11,25675, 0
-0.11,25676, 0
-0.11,25677, 0
-0.11,25678, 0
-0.11,25679, 0
-0.11,25680, 0
-0.11,25681, 0
-0.11,25682, 0
-0.11,25683, 0
-0.11,25684, 0
-0.11,25685, 0
-0.11,25686, 0
-0.11,25687, 0
-0.11,25688, 0
-0.11,25689, 0
-0.11,25690, 0
-0.11,25691, 0
-0.11,25692, 0
-0.11,25693, 0
-0.11,25694, 0
-0.11,25695, 0
-0.11,25696, 0
-0.11,25697, 0
-0.11,25698, 0
-0.11,25699, 0
-0.11,25700, 0
-0.11,25701, 0
-0.11,25702, 0
-0.11,25703, 0
-0.11,25705, 0
-0.11,25704, 0
-0.11,25706, 0
-0.11,25707, 0
-0.11,25708, 0
-0.11,25710, 0
-0.11,25709, 0
-0.11,25711, 0
-0.11,25713, 0
-0.11,25712, 0
-0.11,25714, 0
-0.11,25715, 0
-0.11,25716, 0
-0.11,25717, 0
-0.10,25718, 1
-0.09,25722, 6
-0.09,25719, 3
-0.09,25721, 5
-0.09,25720, 4
-0.09,25723, 8
-0.09,25724, 8
-0.08,25725,11
-0.08,25727,12
-0.08,25726,11
-0.07,25728,14
-0.07,25729,14
-0.07,25730,15
0.00,25732,17
0.00,25731,17
-5.07,25734,19
-5.07,25733,19
-4.68,25735,20
-4.20,25736,21
-3.25,25738,22
-3.71,25737,22
-15.35,25739,23
-14.29,25740,23
-14.29,25741,23
-11.35,25742,24
-11.35,25743,24
-23.17,25745,23
-23.17,25744,23
-21.33,25746,23
-19.15,25747,23
-29.20,25749,23
-17.05,25748,23
-25.56,25750,22
-20.63,25753,22
-23.03,25751,22
-20.63,25752,22
-30.51,25754,21
-27.92,25755,21
-25.21,25757,21
-27.92,25756,21
-22.67,25758,21
-28.96,25760,20
-28.96,25759,20
-24.84,25761,20
-24.84,25762,20
-22.46,25763,21
-20.21,25764,21
-23.58,25765,22
-21.75,25767,22
-21.75,25766,22
-17.38,25768,22
-15.40,25769,22
-15.40,25770,22
-18.23,25771,22
-18.23,25772,22
-15.20,25774,22
-13.57,25775,22
-12.09,25776,21
-16.87,25773,22
-10.49,25778,20
-13.07,25780,20
-10.49,25777,20
-13.07,25779,20
-10.56,25784,20
-10.56,25782,20
-10.56,25783,20
-10.56,25781,20
-8.43,25786,20
-8.43,25785,20
-10.24,25787,21
-9.45,25789,21
0.00,25790,22
-11.07,25792,22
-11.07,25791,22
-11.41,25793,22
-9.77,25794,22
-8.58,25796,22
-9.77,25795,22
-6.57,25798,22
-7.51,25797,22
-5.05,25800,21
-5.05,25799,21
-4.11,25801,21
-3.54,25802,21
-2.69,25803,21
-2.36,25804,20
-1.85,25806,20
-2.36,25805,20
-1.59,25807,20
-1.22,25809,20
-1.22,25808,20
-1.08,25810,20
-0.83,25811,21
-0.61,25812,22
-0.61,25813,22
-0.46,25815,22
-0.53,25814,22
-0.33,25816,22
-0.27,25817,22
-0.23,25818,22
-0.19,25819,22
-0.16,25820,22
-0.10,25821,22
-0.09,25822,22
-0.06,25824,21
-0.07,25823,21
-0.06,25825,21
-0.02,25827,21
-0.02,25826,21
-0.02,25828,20
-0.02,25829,20
-0.02,25830,20
-0.00,25831,20
-0.00,25832,20
-0.01,25833,20
-0.01,25834,20
-0.02,25835,21
-0.02,25836,21
-0.01,25837,22
-0.01,25838,22
-0.01,25839,22
-0.01,25841,22
-0.01,25840,22
0.01,25843,22
0.00,25842,22
0.00,25844,22
0.00,25845,22
0.01,25847,21
0.01,25846,21
0.01,25848,21
0.00,25850,21
0.00,25849,21
-0.00,25851,21
0.01,25852,20
0.00,25853,20
0.00,25854,20
-0.00,25855,20
-0.00,25856,20
0.00,25857,20
-0.00,25858,20
-0.01,25859,21
-0.01,25860,21
-0.02,25861,22
-0.01,25862,22
-0.01,25863,22
-0.01,25864,22
-0.01,25865,22
-0.00,25866,22
0.01,25867,22
0.00,25870,22
0.01,25868,22
0.00,25869,22
0.00,25871,21
0.00,25873,21
0.00,25872,21
0.00,25874,21
-0.00,25876,20
-0.00,25875,20
0.00,25877,20
0.00,25878,20
0.00,25879,20
-0.01,25881,20
-0.01,25880,20
-0.01,25883,21
-0.01,25882,21
-0.01,25884,21
-0.02,25886,22
-0.02,25887,22
-0.01,25888,22
-0.00,25889,22
-0.00,25890,22
0.00,25891,22
0.01,25892,22
0.01,25893,22
0.00,25894,22
0.00,25895,21
0.01,25896,21
0.00,25897,21
0.00,25898,21
-0.00,25899,20
-0.00,25900,20
0.00,25902,20
0.00,25901,20
0.00,25903,20
-0.00,25904,20
-0.00,25905,20
-0.02,25906,21
-0.02,25907,21
-0.01,25910,22
-0.01,25911,22
-0.01,25909,22
-0.01,25908,21
-0.00,25913,22
-0.00,25912,22
0.00,25914,22
0.00,25915,22
0.00,25917,22
0.00,25916,22
-0.00,25919,21
0.01,25918,21
0.00,25920,20
-0.01,25921,16
-0.24,25923, 8
-0.18,25922,12
-0.24,25924, 8
-0.23,25927, 0
-0.23,25926, 0
-0.23,25925, 0
-0.22,25928, 0
-0.22,25930, 0
-0.22,25931, 0
-0.22,25929, 0
-0.22,25932, 0
-0.22,25935, 0
-0.22,25934, 0
-0.22,25936, 0
-0.22,25937, 0
-0.22,25939, 0
-0.25,25940, 0
-0.25,25941, 1
-0.20,25944, 5
-0.20,25943, 5
-0.24,25942, 3
-0.19,25945, 8
-0.19,25946, 8
-0.18,25947, 9
-0.18,25948,10
-0.16,25949,12
-0.15,25950,13
-0.14,25951,14
-0.14,25952,14
-0.13,25953,15
0.00,25954,18
0.00,25955,18
3.32,25957,20
3.28,25956,19
3.09,25958,21
13.01,25959,20
13.01,25960,20
13.26,25961,20
23.86,25964,20
23.86,25963,20
22.13,25965,21
22.13,25966,21
31.98,25967,23
38.99,25970,25
38.99,25969,25
31.98,25968,23
30.21,25972,27
35.23,25974,27
30.21,25973,27
33.12,25971,26
31.95,25975,28
28.74,25978,28
31.95,25977,28
28.74,25979,28
32.29,25980,28
34.99,25981,28
39.11,25982,27
27.27,25983,28
27.27,25985,28
27.27,25984,28
23.85,25987,28
23.85,25986,28
16.35,25989,28
16.35,25990,28
16.35,25988,28
10.78,25992,28
10.78,25993,28
8.92,25994,28
10.78,25991,28
3.62,25996,28
3.62,25995,28
2.10,25997,25
2.10,25998,25
0.80,25999,24
0.47,26000,23
0.22,26002,22
0.22,26001,22
0.16,26003,22
-0.05,26004,21
-0.07,26005,21
-0.07,26006,20
-0.07,26007,20
-0.05,26008,20
0.06,26009,19
0.08,26010,20
0.08,26011,21
0.08,26012,21
0.07,26013,22
0.23,26015,22
0.23,26014,22
0.21,26016,22
0.18,26017,23
0.16,26018,23
0.23,26019,23
0.18,26020,22
0.18,26021,22
0.15,26022,22
0.14,26023,22
0.15,26024,22
0.14,26025,22
0.12,26026,21
0.11,26027,21
0.09,26029,21
0.09,26028,21
0.08,26030,21
0.08,26031,20
0.07,26032,20
0.07,26033,20
0.05,26034,20
0.05,26035,20
0.05,26036,20
0.05,26037,20
0.05,26038,21
0.04,26039,21
0.03,26041,22
0.03,26040,22
0.02,26042,22
0.02,26043,22
1.01,26045,22
1.00,26044,22
0.83,26047,22
0.93,26046,22
3.94,26049,22
3.95,26048,22
3.64,26050,21
3.28,26051,21
6.30,26054,21
6.88,26053,21
7.14,26052,21
9.64,26055,20
7.50,26057,20
7.50,26056,20
7.50,26058,20
10.65,26059,21
8.54,26060,22
8.54,26061,22
12.30,26062,22
10.25,26064,22
10.25,26065,22
10.25,26066,22
12.86,26067,22
12.86,26068,22
11.96,26069,22
10.78,26070,22
13.38,26072,21
12.46,26073,21
13.38,26071,21
11.27,26074,21
10.09,26075,21
13.76,26076,21
12.81,26077,21
10.42,26078,20
14.01,26079,20
14.01,26080,20
13.03,26081,20
11.82,26082,20
10.63,26083,20
11.70,26085,22
13.05,26084,21
11.70,26086,22
13.44,26088,22
14.71,26087,22
11.97,26089,22
13.88,26091,22
10.54,26090,22
11.40,26092,22
10.10,26094,22
11.40,26093,22
12.65,26095,21
11.37,26097,21
11.37,26096,21
10.12,26098,21
13.22,26100,21
13.22,26099,21
12.37,26101,20
11.22,26102,20
10.07,26103,20
13.98,26104,20
13.03,26105,20
11.81,26106,20
10.58,26107,21
9.41,26108,21
13.61,26109,22
12.67,26110,22
10.13,26111,22
14.02,26112,22
13.02,26114,22
13.02,26113,22
10.46,26115,22
14.20,26116,22
11.96,26119,21
13.21,26118,21
10.71,26120,21
13.21,26117,21
12.06,26121,21
12.10,26123,20
12.10,26124,20
14.33,26122,20
9.79,26125,20
11.98,26128,21
12.97,26127,21
9.79,26126,20
9.53,26130,22
8.77,26132,22
7.83,26133,22
8.77,26131,22
7.83,26134,22
6.90,26135,22
6.90,26137,22
6.90,26136,22
4.33,26139,22
4.33,26141,22
4.33,26140,22
5.31,26138,22
3.33,26142,21
3.33,26143,21
2.54,26144,21
2.21,26145,21
2.21,26146,21
1.70,26148,20
1.50,26149,20
1.70,26147,20
1.25,26150,20
1.09,26151,20
0.96,26152,20
0.85,26153,20
0.75,26154,21
0.52,26156,22
0.52,26155,22
0.38,26157,22
0.38,26158,22
0.33,26159,22
0.25,26160,22
0.21,26161,22
0.17,26162,22
0.15,26163,22
0.13,26164,22
0.09,26165,22
0.08,26166,21
0.07,26167,21
0.06,26168,21
0.06,26169,21
0.04,26170,21
0.04,26171,20
0.03,26172,20
0.03,26173,20
0.03,26174,20
0.02,26175,20
0.02,26177,20
0.02,26176,20
0.03,26178,21
0.03,26179,21
0.02,26180,22
0.01,26181,22
0.00,26182,22
0.00,26183,22
-0.00,26184,22
-0.01,26185,22
-0.01,26187,22
-0.01,26186,22
-0.01,26188,22
-0.00,26189,22
-0.01,26190,21
-0.00,26191,21
0.00,26192,21
0.01,26193,21
0.00,26195,20
0.01,26194,21
0.00,26196,20
0.00,26197,20
0.01,26198,20
0.01,26199,20
0.02,26200,20
0.01,26201,20
0.01,26203,21
0.01,26202,21
0.01,26204,22
0.01,26205,22
-0.00,26207,22
-0.00,26206,22
-0.01,26208,22
-0.01,26209,22
-0.01,26210,22
-0.01,26211,22
-0.01,26212,22
-0.01,26213,22
-0.00,26214,21
0.00,26215,21
-0.00,26216,21
-0.00,26217,21
0.00,26218,21
0.01,26219,20
0.01,26220,20
0.00,26221,20
0.00,26222,20
0.01,26223,20
0.01,26224,20
0.02,26225,20
0.01,26226,21
0.01,26227,20
0.01,26228,19
0.00,26229,17
-0.01,26230,15
-0.01,26231,13
-0.00,26232,11
0.00,26233, 9
0.01,26234, 7
0.01,26235, 5
0.01,26236, 1
0.03,26237, 0
0.03,26238, 0
0.03,26239, 0
0.03,26240, 0
0.03,26241, 0
0.03,26242, 0
0.03,26244, 0
0.03,26243, 0
0.03,26245, 0
0.03,26246, 0
0.03,26250, 0
0.03,26247, 0
0.03,26249, 0
0.03,26253, 0
0.03,26251, 0
0.03,26252, 0
0.03,26248, 0
0.03,26255, 0
0.03,26254, 0
0.03,26256, 0
0.03,26257, 0
0.03,26258, 0
0.03,26259, 0
0.03,26261, 0
0.03,26260, 0
0.03,26262, 0
0.03,26263, 0
0.03,26264, 0
0.03,26265, 0
0.03,26266, 0
0.03,26267, 0
0.03,26268, 0
0.03,26269, 0
0.03,26271, 0
0.03,26270, 0
0.03,26272, 0
0.03,26273, 0
0.03,26274, 0
0.03,26275, 0
0.03,26276, 0
0.03,26277, 0
0.03,26279, 0
0.03,26278, 0
0.03,26280, 0
0.03,26281, 0
0.03,26282, 0
0.03,26283, 0
0.03,26284, 0
0.03,26285, 0
0.03,26286, 0
0.03,26287, 0
0.03,26288, 0
0.03,26289, 0
0.03,26291, 0
0.03,26290, 0
0.03,26292, 0
0.03,26294, 0
0.03,26293, 0
0.03,26295, 0
0.03,26296, 0
0.03,26297, 0
0.03,26298, 0
0.03,26299, 0
0.03,26300, 0
0.03,26301, 0
0.03,26302, 0
0.03,26303, 0
0.03,26304, 0
0.03,26305, 0
0.03,26306, 0
0.03,26307, 0
0.03,26308, 0
0.03,26309, 0
0.03,26310, 0
0.03,26311, 0
0.03,26312, 0
0.03,26313, 0
0.03,26314, 0
0.03,26315, 0
0.03,26316, 0
0.03,26317, 0
0.03,26318, 0
0.03,26319, 0
0.03,26320, 0
0.03,26321, 0
0.03,26322, 0
0.03,26323, 0
0.03,26324, 0
0.03,26325, 0
0.03,26326, 0
0.03,26327, 0
0.03,26328, 0
0.03,26329, 0
0.03,26330, 0
0.03,26331, 0
0.03,26333, 0
0.03,26332, 0
0.03,26334, 0
0.03,26335, 0
0.03,26336, 0
0.03,26337, 0
0.03,26338, 0
0.03,26339, 0
0.03,26340, 0
0.03,26341, 0
0.03,26342, 0
0.03,26344, 0
0.03,26343, 0
0.03,26345, 0
0.03,26346, 0
0.03,26347, 0
0.03,26349, 0
0.03,26348, 0
0.03,26350, 0
0.03,26352, 0
0.03,26351, 0
0.03,26353, 0
0.05,26354, 0
0.05,26355, 2
0.02,26356, 3
0.02,26360, 8
0.02,26359, 7
0.02,26358, 6
0.02,26357, 5
0.01,26361,10
0.01,26362,13
-0.00,26363,15
-0.01,26365,18
-0.01,26366,18
-0.01,26364,17
-0.01,26368,20
0.00,26369,21
-0.01,26367,20
0.00,26370,21
6.04,26371,22
6.32,26372,22
6.32,26373,22
5.98,26374,23
5.98,26375,23
20.53,26376,23
21.33,26377,23
20.56,26378,23
37.53,26379,23
37.61,26380,23
53.48,26381,23
52.12,26382,22
49.39,26383,22
58.89,26384,22
56.30,26385,22
53.16,26386,21
65.56,26387,21
62.31,26388,21
58.27,26389,21
54.21,26390,21
50.45,26391,22
47.34,26392,22
42.98,26393,23
38.85,26394,23
35.12,26395,24
31.86,26396,24
25.41,26397,24
22.04,26398,24
19.27,26399,24
16.94,26400,24
10.43,26402,24
12.43,26401,24
8.89,26403,23
7.65,26404,23
6.63,26405,23
4.22,26406,23
3.40,26407,23
2.83,26408,22
2.40,26409,22
1.44,26410,22
1.15,26411,22
0.95,26412,22
0.81,26413,21
0.70,26414,21
0.31,26415,21
0.23,26416,21
0.19,26417,21
0.16,26418,20
0.14,26419,20
0.13,26420,20
-0.04,26421,20
-0.05,26422,20
-0.04,26423,20
-0.03,26424,21
-0.03,26425,21
-0.08,26426,22
-0.08,26427,22
-0.08,26428,22
-0.07,26429,22
-0.06,26430,22
-0.08,26431,22
-0.08,26432,22
-0.07,26433,22
-0.06,26434,22
-0.04,26435,22
-0.05,26436,21
-0.04,26437,21
-0.03,26438,21
-0.03,26439,21
-0.02,26440,21
-0.02,26441,20
-0.02,26442,20
-0.01,26443,20
-0.01,26444,20
-0.00,26445,20
-0.01,26446,20
-0.00,26447,20
0.01,26448,21
0.01,26449,21
0.01,26450,22
-0.00,26451,22
-0.00,26452,22
-0.01,26454,22
-0.01,26453,22
-0.01,26455,22
-0.02,26456,22
-0.01,26457,22
-0.01,26458,22
-0.01,26459,22
-0.00,26460,21
-0.00,26462,21
-0.00,26461,21
0.00,26463,21
0.00,26464,21
0.01,26465,20
0.00,26466,20
0.00,26467,20
0.01,26468,20
0.01,26469,20
0.01,26471,20
0.01,26470,20
0.01,26472,21
0.01,26473,21
0.01,26474,22
0.01,26476,22
0.01,26475,22
-0.00,26477,22
-0.00,26478,22
-0.01,26480,22
-0.01,26479,22
-0.01,26481,22
-0.01,26482,22
-0.00,26484,21
-0.01,26483,22
0.01,26486,17
0.00,26485,20
-0.13,26489, 5
-0.13,26488, 5
-0.13,26487, 5
-0.10,26490, 0
-0.10,26491, 0
-0.10,26492, 0
-0.10,26493, 0
-0.10,26494, 0
-0.10,26495, 0
-0.10,26496, 0
-0.10,26497, 0
-0.10,26498, 0
-0.10,26499, 0
-0.10,26500, 0
-0.10,26501, 0
-0.10,26502, 0
-0.10,26503, 0
-0.10,26504, 0
-0.10,26506, 0
-0.10,26505, 0
-0.10,26507, 0
-0.10,26508, 0
-0.10,26509, 0
-0.10,26511, 0
-0.10,26510, 0
-0.10,26512, 0
-0.10,26513, 0
-0.10,26514, 0
-0.10,26515, 0
-0.10,26516, 0
-0.10,26518, 0
-0.10,26517, 0
-0.10,26519, 0
-0.10,26520, 0
-0.10,26521, 0
-0.10,26522, 0
-0.10,26523, 0
-0.10,26525, 0
-0.10,26524, 0
-0.10,26526, 0
-0.10,26527, 0
-0.10,26528, 0
-0.10,26529, 0
-0.10,26530, 0
-0.10,26531, 0
-0.10,26532, 0
-0.10,26533, 0
-0.10,26535, 0
-0.10,26534, 0
-0.10,26536, 0
-0.10,26537, 0
-0.10,26538, 0
-0.10,26539, 0
-0.10,26540, 0
-0.10,26541, 0
-0.10,26543, 0
-0.10,26542, 0
-0.10,26544, 0
-0.10,26545, 0
-0.10,26546, 0
-0.10,26547, 0
-0.10,26548, 0
-0.10,26549, 0
-0.10,26550, 0
-0.10,26551, 0
-0.10,26552, 0
-0.10,26553, 0
-0.10,26554, 0
-0.10,26555, 0
-0.10,26556, 0
-0.10,26557, 0
-0.10,26558, 0
-0.10,26559, 0
-0.10,26560, 0
-0.10,26561, 0
-0.10,26562, 0
-0.10,26563, 0
-0.10,26564, 0
-0.10,26565, 0
-0.10,26566, 0
-0.10,26567, 0
-0.10,26568, 0
-0.10,26569, 0
-0.10,26570, 0
-0.10,26571, 0
-0.10,26572, 0
-0.10,26573, 0
-0.10,26574, 0
-0.10,26576, 0
-0.10,26575, 0
-0.10,26577, 0
-0.10,26578, 0
-0.10,26579, 0
-0.10,26580, 0
-0.10,26581, 0
-0.10,26582, 0
-0.10,26583, 0
-0.10,26587, 0
-0.10,26585, 0
-0.10,26584, 0
-0.10,26586, 0
-0.10,26588, 0
-0.10,26589, 0
-0.10,26590, 0
-0.10,26591, 0
-0.10,26592, 0
-0.10,26593, 0
-0.10,26594, 0
-0.10,26596, 0
-0.10,26595, 0
-0.10,26597, 0
-0.10,26598, 0
-0.10,26599, 0
-0.10,26600, 0
-0.10,26601, 0
-0.10,26602, 0
-0.10,26603, 0
-0.10,26605, 0
-0.10,26604, 0
-0.10,26606, 0
-0.10,26607, 0
-0.10,26608, 0
-0.10,26609, 0
-0.10,26610, 0
-0.10,26611, 0
-0.10,26612, 0
-0.10,26613, 0
-0.10,26614, 0
-0.10,26615, 0
-0.10,26616, 0
-0.10,26617, 0
-0.10,26618, 0
-0.10,26619, 0
-0.10,26620, 0
-0.10,26621, 0
-0.10,26622, 0
-0.10,26623, 0
-0.10,26624, 0
-0.10,26625, 0
-0.10,26626, 0
-0.10,26629, 0
-0.10,26627, 0
-0.10,26628, 0
-0.10,26630, 0
-0.10,26631, 0
-0.10,26632, 0
-0.10,26634, 0
-0.10,26633, 0
-0.10,26635, 0
-0.10,26636, 0
-0.10,26637, 0
-0.10,26638, 0
-0.10,26639, 0
-0.10,26642, 0
-0.10,26640, 0
-0.10,26641, 0
-0.10,26644, 0
-0.10,26646, 0
-0.10,26643, 0
-0.10,26645, 0
-0.10,26648, 0
-0.10,26647, 0
-0.10,26650, 0
-0.10,26649, 0
-0.10,26651, 0
-0.10,26652, 0
-0.10,26653, 0
-0.10,26655, 0
-0.10,26654, 0
-0.10,26657, 0
-0.10,26656, 0
-0.10,26658, 0
-0.10,26659, 0
-0.10,26660, 0
-0.10,26662, 0
-0.10,26661, 0
-0.10,26663, 0
-0.10,26665, 0
-0.10,26664, 0
-0.10,26666, 0
-0.10,26668, 0
-0.10,26667, 0
-0.10,26670, 0
-0.10,26669, 0
-0.10,26671, 0
-0.10,26672, 0
-0.10,26673, 0
-0.10,26674, 0
-0.10,26675, 0
-0.10,26676, 0
-0.10,26677, 0
-0.10,26678, 0
-0.10,26679, 0
-0.10,26680, 0
-0.10,26681, 0
-0.10,26682, 0
-0.10,26683, 0
-0.10,26684, 0
-0.10,26685, 0
-0.10,26686, 0
-0.10,26687, 0
-0.10,26688, 0
-0.10,26689, 0
-0.10,26690, 0
-0.10,26691, 0
-0.10,26692, 0
-0.10,26693, 0
-0.10,26694, 0
