,steer,nombre
8552,11.79,37336.0
23249,9.83,56667.0
3848,-0.0,31311.0
6129,-0.02,34491.0
9300,1.8,38109.0
15092,8.75,47752.0
23467,7.28,56885.0
2338,-6.53,29291.0
11273,0.08,42726.0
27728,39.11,61146.0
14055,0.02,46372.0
24334,18.84,57752.0
22506,9.42,55924.0
19832,-12.67,53250.0
1788,0.0,28591.0
4035,0.0,31938.0
23639,-17.53,57057.0
2343,-5.23,29296.0
19424,-5.76,52842.0
23744,19.81,57162.0
17153,-8.43,50571.0
2458,0.05,29412.0
8100,43.75,36714.0
13889,20.23,46202.0
6002,0.0,34360.0
4690,0.01,32604.0
16261,3.91,49525.0
21833,-5.58,55251.0
9980,-3.08,39613.0
25660,-44.4,59078.0
30281,15.67,63699.0
4659,-0.01,32573.0
16191,0.01,49455.0
23542,-7.39,56960.0
24825,-37.99,58243.0
19557,-20.63,52975.0
30108,-13.53,63526.0
23238,-10.82,56656.0
490,0.0,25844.0
7708,-6.13,36313.0
13991,-0.0,46307.0
7316,-7.01,35910.0
28702,-8.47,62120.0
1943,0.01,28749.0
13848,13.12,46159.0
12747,-15.7,45030.0
9528,-1.34,38879.0
13296,0.33,45592.0
1720,-30.71,28521.0
5589,0.03,33652.0
18304,18.86,51722.0
25717,5.2,59135.0
24568,5.73,57986.0
9501,0.01,38310.0
16248,-0.0,49512.0
16061,0.01,49325.0
8470,0.01,37253.0
26926,-7.52,60344.0
13798,4.39,46107.0
16107,-0.0,49371.0
30821,23.1,64239.0
20914,7.51,54332.0
23252,-8.81,56670.0
15086,9.27,47746.0
2431,0.23,29383.0
21309,-6.32,54727.0
14539,0.0,47188.0
26136,-11.22,59554.0
3801,0.01,31264.0
855,-0.01,26230.0
10180,-0.0,39824.0
14563,-0.0,47212.0
1569,-0.0,28224.0
15349,0.01,48135.0
28700,-9.52,62118.0
26670,-21.53,60088.0
25858,-7.01,59276.0
27740,16.35,61158.0
20706,5.68,54124.0
11232,0.1,42686.0
2043,-7.11,28849.0
7307,-8.68,35901.0
11811,3.05,44007.0
30738,-18.2,64156.0
20932,-12.49,54350.0
13573,19.04,45872.0
15441,-11.54,48696.0
4433,-5.56,32347.0
396,-17.05,25748.0
24486,6.0,57904.0
29050,37.03,62468.0
20505,-5.65,53923.0
26137,15.6,59555.0
20089,12.3,53507.0
27036,-9.95,60454.0
1491,0.25,28145.0
3423,-4.25,30467.0
11576,20.03,43761.0
22900,24.45,56318.0
11999,-0.01,44202.0
4887,0.01,32801.0
132,4.42,25404.0
5599,-0.05,33662.0
19097,-9.03,52515.0
3601,-6.5,30645.0
27791,-10.42,61209.0
11394,-0.02,42848.0
21453,-6.53,54871.0
15971,0.01,49234.0
11907,0.0,44110.0
31020,52.76,64438.0
3829,0.01,31292.0
5911,-0.0,34273.0
12429,0.0,44706.0
27056,-21.38,60474.0
19123,-8.26,52541.0
29347,-14.69,62765.0
6852,0.0,35220.0
10372,-0.0,40690.0
24942,-33.54,58360.0
4308,-1.44,32212.0
14739,4.02,47391.0
24794,18.72,58212.0
28806,39.54,62224.0
3649,6.29,30693.0
31605,28.56,65023.0
22810,6.31,56228.0
5221,-8.4,33135.0
6825,0.0,35193.0
5976,0.0,34336.0
26603,7.1,60021.0
26846,11.54,60264.0
18658,-9.4,52076.0
18926,-8.23,52344.0
14129,0.01,46447.0
4789,0.0,32703.0
30519,-9.88,63937.0
8646,-0.02,37430.0
25529,-17.17,58947.0
19526,5.07,52944.0
622,3.62,25996.0
19822,-13.03,53240.0
11844,3.61,44043.0
25226,-11.47,58644.0
30350,-37.99,63768.0
13146,4.03,45436.0
3016,-0.01,30056.0
27735,-23.85,61153.0
23308,-6.08,56726.0
25447,-26.71,58865.0
5214,-12.64,33128.0
22184,6.93,55602.0
22781,-6.56,56199.0
6591,-6.34,34959.0
26863,6.85,60281.0
16270,17.73,49534.0
7575,-6.62,36180.0
3556,0.0,30601.0
6650,-0.59,35018.0
18464,10.03,51882.0
680,6.88,26053.0
12335,-0.02,44610.0
14635,-0.02,47287.0
10543,0.0,41327.0
16209,0.0,49473.0
30780,-23.24,64198.0
2833,-0.02,29871.0
27265,8.73,60683.0
27926,58.27,61344.0
14904,0.01,47561.0
6621,-5.62,34989.0
7456,-0.21,36049.0
29157,13.3,62575.0
17250,-16.35,50668.0
22275,7.24,55693.0
13116,-0.04,45406.0
102,5.47,25374.0
5709,-5.6,33773.0
24898,-14.13,58316.0
568,-0.18,25922.0
1303,2.35,27509.0
17036,7.39,50349.0
1730,-27.0,28531.0
14068,-0.01,46385.0
30119,9.08,63537.0
2024,-10.34,28831.0
24259,-17.93,57677.0
25180,-36.99,58598.0
10141,-0.01,39785.0
27615,28.96,61033.0
20682,6.87,54100.0
24628,6.98,58046.0
16335,-0.0,49599.0
3721,0.0,30766.0
16350,-0.0,49614.0
14455,-0.08,46782.0
2264,-3.43,29218.0
8241,0.01,36865.0
17915,-8.22,51333.0
24059,-5.18,57477.0
23770,20.13,57188.0
13601,18.25,45901.0
12906,12.07,45196.0
12820,-17.49,45107.0
27014,-20.49,60432.0
26234,-13.08,59652.0
2014,-9.45,28821.0
198,0.01,25470.0
4547,-6.33,32461.0
19600,13.57,53018.0
23101,14.97,56519.0
19746,-12.86,53164.0
60,21.54,25332.0
28671,9.26,62089.0
2429,0.19,29381.0
31062,19.99,64480.0
28709,9.48,62127.0
31203,-16.16,64621.0
27829,-11.37,61247.0
4686,0.0,32600.0
8141,1.76,36755.0
25062,-10.1,58480.0
5236,-1.28,33150.0
13243,8.7,45538.0
13969,-0.01,46284.0
19872,-8.77,53290.0
4841,0.0,32755.0
27799,-11.82,61217.0
9446,0.01,38255.0
18409,19.77,51827.0
19325,-9.22,52743.0
14684,3.89,47336.0
10465,-21.63,41248.0
28249,9.54,61667.0
23261,8.7,56679.0
25058,-9.63,58476.0
1627,0.01,28282.0
7822,0.01,36431.0
4483,-6.9,32397.0
6030,-0.0,34391.0
8859,-0.0,37655.0
1497,0.21,28152.0
22372,8.8,55790.0
15384,-5.03,48638.0
12806,-20.96,45093.0
21847,-5.98,55265.0
17741,12.92,51159.0
9894,-8.55,39527.0
15580,-0.01,48836.0
22952,-12.61,56370.0
15192,0.37,47853.0
30999,-11.43,64417.0
6128,-0.01,34490.0
30740,-22.1,64158.0
5439,-5.63,33502.0
10939,-0.01,41736.0
29620,-23.34,63038.0
1174,-0.0,27379.0
973,0.0,26466.0
30996,12.07,64414.0
9244,5.43,38041.0
22726,5.8,56144.0
8738,-0.01,37535.0
7063,-0.01,35639.0
8591,0.0,37375.0
6517,-4.09,34885.0
352,0.0,25625.0
20464,-35.4,53882.0
2989,0.0,30029.0
9222,5.68,38020.0
13193,6.27,45487.0
21592,9.54,55010.0
4495,-5.83,32409.0
3799,0.0,31262.0
2041,-8.05,28847.0
2676,-0.02,29629.0
25832,-5.5,59250.0
26986,-13.3,60404.0
28936,-8.25,62354.0
22449,-5.11,55867.0
25244,-14.16,58662.0
3170,-0.01,30210.0
25502,21.59,58920.0
356,0.0,25629.0
18820,19.4,52238.0
10328,-4.85,40646.0
9927,-10.22,39560.0
29353,-11.05,62771.0
21913,-10.26,55331.0
6271,-0.01,34637.0
18014,-32.19,51432.0
17081,2.67,50394.0
5187,-11.94,33101.0
6249,-0.01,34615.0
20831,-6.41,54249.0
30630,13.52,64048.0
7852,0.01,36462.0
21491,-5.45,54909.0
23470,-6.8,56888.0
17762,9.38,51180.0
25409,-29.31,58827.0
19300,-27.24,52718.0
12108,0.02,44314.0
4006,0.0,31909.0
25097,10.13,58515.0
7295,-6.55,35889.0
30038,-21.04,63456.0
22338,7.08,55756.0
15939,0.0,49203.0
29207,-37.61,62625.0
3152,0.0,30192.0
1347,3.98,27553.0
29014,14.03,62432.0
29025,-28.07,62443.0
31450,12.28,64868.0
9253,4.88,38051.0
27220,-5.69,60638.0
2661,0.0,29614.0
21440,6.5,54858.0
11771,5.39,43964.0
23475,7.76,56893.0
824,0.01,26199.0
29432,11.58,62850.0
14018,-0.01,46336.0
22981,37.23,56399.0
13599,22.95,45899.0
17237,-31.95,50655.0
9067,0.0,37864.0
3716,-0.01,30760.0
13316,0.02,45611.0
20052,-11.79,53470.0
16654,-0.86,49965.0
30743,20.69,64161.0
8207,-0.01,36831.0
6334,-0.0,34700.0
4792,0.01,32706.0
3146,-0.01,30186.0
14857,-0.0,47514.0
181,0.28,25453.0
13266,5.29,45562.0
14409,64.79,46734.0
26836,20.95,60254.0
23823,-8.6,57241.0
7135,0.0,35728.0
31171,-32.24,64589.0
30515,-8.43,63933.0
5646,-3.56,33709.0
28763,10.26,62181.0
7901,0.01,36511.0
24254,24.32,57672.0
24943,33.54,58361.0
16354,0.01,49618.0
26982,-6.84,60400.0
25418,23.1,58836.0
6492,-3.12,34860.0
8048,-0.01,36659.0
4756,-0.01,32670.0
25020,-9.94,58438.0
9298,2.0,38107.0
15436,-18.7,48690.0
10881,-0.13,41679.0
11454,-31.23,43157.0
30488,9.51,63906.0
19696,-27.27,53114.0
21452,5.71,54870.0
9938,-5.96,39570.0
2559,-4.87,29512.0
4802,-0.0,32716.0
25463,-23.89,58881.0
18142,21.83,51560.0
15258,2.39,48042.0
22785,-6.12,56203.0
5782,-0.0,33846.0
5821,0.02,33885.0
19836,-14.02,53254.0
31368,45.63,64786.0
16199,-0.01,49463.0
31013,-36.87,64431.0
13586,37.23,45885.0
18546,25.89,51964.0
16317,0.73,49580.0
28372,13.5,61790.0
23036,-9.56,56454.0
6773,9.98,35141.0
19784,-11.7,53202.0
25441,-23.04,58859.0
15451,-2.62,48706.0
3326,-2.48,30368.0
10165,-0.01,39808.0
1886,0.0,28690.0
31142,20.58,64560.0
19372,-18.7,52790.0
113,12.09,25385.0
31399,-8.57,64817.0
29815,16.05,63233.0
22640,7.17,56058.0
755,9.53,26130.0
15556,-0.01,48813.0
2658,0.0,29611.0
15716,-5.03,48977.0
24658,7.96,58076.0
4803,-0.01,32717.0
31559,-23.08,64977.0
339,0.01,25612.0
5298,15.5,33360.0
16174,-0.01,49438.0
26148,-10.48,59566.0
10363,-0.01,40681.0
23411,5.26,56829.0
25412,25.35,58830.0
7481,-0.39,36075.0
8210,0.0,36834.0
8608,1.57,37392.0
23194,-14.53,56612.0
4795,-0.0,32709.0
3484,-7.3,30528.0
4500,-5.22,32415.0
10086,-14.7,39730.0
11839,3.71,44037.0
14561,-0.01,47210.0
9053,0.01,37851.0
18529,9.5,51947.0
12522,0.01,44801.0
14507,-0.02,47155.0
9659,0.13,39292.0
2050,-8.14,28856.0
19786,-13.44,53204.0
5706,-2.97,33770.0
15637,2.55,48895.0
221,-0.0,25492.0
18633,-9.79,52051.0
8721,-0.0,37517.0
4494,-6.48,32408.0
1252,0.0,27458.0
20799,-5.05,54217.0
30128,-8.61,63546.0
1265,-0.01,27471.0
6788,1.16,35156.0
25686,-28.83,59104.0
17664,-21.68,51082.0
22980,-43.92,56398.0
24199,-7.2,57617.0
14556,-0.01,47205.0
26571,7.34,59989.0
15229,32.69,48013.0
9920,-5.67,39553.0
31370,41.72,64788.0
10237,-0.21,39882.0
25290,9.22,58708.0
3441,-4.88,30485.0
7009,-0.0,35585.0
31138,21.11,64556.0
15173,2.45,47834.0
28651,10.14,62069.0
5334,7.01,33396.0
16566,4.82,49876.0
19293,-35.35,52711.0
21204,6.22,54622.0
13816,5.71,46128.0
4447,-6.89,32361.0
31054,28.83,64472.0
3819,-0.02,31282.0
8579,9.45,37363.0
28901,-9.98,62319.0
27174,-6.18,60592.0
13230,7.01,45525.0
3003,-0.01,30043.0
11641,0.0,43829.0
23810,5.03,57228.0
24456,9.08,57874.0
14618,-0.0,47271.0
19533,-14.29,52951.0
21604,9.26,55022.0
6235,0.0,34601.0
12212,-0.0,44433.0
29243,-9.56,62661.0
10730,-5.87,41514.0
29943,20.75,63361.0
16810,-0.01,50121.0
4586,-4.81,32500.0
6784,2.26,35152.0
768,3.33,26143.0
3134,0.0,30174.0
6480,-3.18,34843.0
11207,-0.01,42466.0
1663,0.0,28318.0
9704,-19.0,39337.0
30111,10.7,63529.0
619,10.78,25993.0
11817,2.45,44013.0
6954,0.0,35529.0
31631,31.7,65049.0
30299,9.5,63717.0
3145,-0.01,30185.0
11574,12.65,43759.0
18642,-9.13,52060.0
5233,-2.3,33147.0
24603,-6.72,58021.0
2029,-6.84,28834.0
26681,31.8,60099.0
26841,-16.74,60259.0
16326,0.08,49590.0
12950,0.01,45241.0
12966,-0.01,45256.0
21596,7.66,55014.0
22580,-39.27,55998.0
19434,-6.9,52852.0
13466,0.01,45763.0
31489,-9.88,64907.0
21540,6.67,54958.0
3989,-0.02,31892.0
25083,9.73,58501.0
6635,-3.56,35003.0
25450,22.45,58868.0
1298,2.21,27504.0
2119,-0.25,28926.0
6656,-0.23,35024.0
9239,4.64,38037.0
12440,-0.0,44719.0
20240,6.45,53658.0
30833,21.35,64251.0
5141,-6.64,33055.0
18478,8.71,51896.0
12512,-0.02,44791.0
31336,37.08,64754.0
21236,-29.76,54654.0
26077,7.12,59495.0
19531,-14.29,52949.0
21464,5.54,54882.0
24314,14.38,57732.0
9979,-3.48,39612.0
7644,-5.64,36249.0
485,-0.01,25839.0
7139,-0.0,35733.0
10242,-0.13,40560.0
24434,7.49,57852.0
21543,-7.47,54961.0
1179,0.01,27384.0
10507,-2.42,41290.0
17198,18.23,50616.0
27781,-13.38,61199.0
25932,-8.44,59350.0
12473,-0.0,44753.0
1295,2.5,27501.0
1263,-0.02,27469.0
12830,-23.46,45118.0
5943,-0.01,34304.0
6026,-0.0,34387.0
8453,0.91,37236.0
13471,-0.0,45768.0
20986,6.73,54404.0
11784,4.15,43977.0
14832,0.04,47488.0
30684,-8.9,64102.0
18584,-14.13,52002.0
11279,0.0,42734.0
9521,-0.11,38871.0
20721,-5.07,54139.0
9670,0.02,39303.0
10931,0.01,41728.0
16612,2.11,49923.0
4049,-0.0,31952.0
22080,7.27,55498.0
4187,-9.27,32090.0
17927,33.56,51345.0
3619,-9.08,30663.0
24793,-18.72,58211.0
14872,0.01,47530.0
6607,-7.0,34975.0
23045,14.45,56463.0
29966,-24.09,63384.0
13629,0.09,45931.0
16081,0.0,49345.0
31039,-40.27,64457.0
6763,12.53,35131.0
29140,-20.96,62558.0
19868,-9.79,53286.0
24223,-12.06,57641.0
10221,0.01,39866.0
23008,-17.95,56426.0
31017,-36.65,64435.0
28894,10.33,62312.0
15393,-8.06,48647.0
11320,0.0,42774.0
18052,-10.63,51470.0
8104,31.04,36718.0
14958,0.0,47614.0
18053,-14.69,51471.0
21383,-5.83,54801.0
29565,10.27,62983.0
27957,-9.74,61375.0
8861,0.0,37659.0
24329,-20.65,57747.0
2836,-0.01,29875.0
18313,9.85,51731.0
5791,0.0,33855.0
19893,5.98,53311.0
27175,5.58,60593.0
2844,-0.0,29883.0
13933,0.0,46248.0
23049,22.85,56467.0
10788,-0.52,41574.0
4779,-0.01,32693.0
19299,-28.3,52717.0
3541,-0.04,30585.0
29248,8.59,62666.0
29356,9.87,62774.0
84,2.34,25356.0
28817,-29.58,62235.0
13005,0.01,45295.0
4839,0.0,32752.0
22570,-38.49,55988.0
31654,-13.06,65072.0
10104,-8.38,39748.0
20965,-7.48,54383.0
30441,-34.36,63859.0
16076,-0.01,49340.0
24215,-17.83,57633.0
19825,10.58,53243.0
30948,-14.53,64366.0
25731,7.3,59149.0
13698,-0.01,46003.0
26811,-27.59,60229.0
22615,-5.37,56033.0
8026,0.0,36636.0
25724,-6.69,59142.0
21083,-7.34,54501.0
8183,0.0,36807.0
31064,17.75,64482.0
23600,10.55,57018.0
12725,-13.16,45008.0
8020,0.01,36628.0
17447,41.12,50865.0
24806,28.73,58224.0
13390,0.01,45686.0
15226,28.77,48010.0
7522,38.49,36127.0
4823,0.0,32737.0
8963,0.01,37760.0
6156,-0.0,34520.0
26128,-11.37,59546.0
26525,8.26,59943.0
17584,11.92,51002.0
7832,-0.01,36442.0
1958,0.0,28764.0
10305,-24.32,40623.0
29707,9.68,63125.0
25142,-15.3,58560.0
51,17.06,25323.0
21736,-15.42,55154.0
5765,0.0,33829.0
14062,-0.01,46379.0
3559,-0.0,30602.0
3444,-7.05,30488.0
7753,-0.17,36360.0
4267,-9.07,32170.0
18560,24.35,51978.0
16477,-0.01,49786.0
23508,-5.31,56926.0
6052,-0.0,34414.0
1292,1.76,27500.0
5942,-0.01,34303.0
21995,-6.34,55413.0
6922,0.0,35497.0
25076,-7.01,58494.0
19211,-8.09,52629.0
30211,10.26,63629.0
10070,-33.75,39714.0
27368,-6.62,60786.0
30546,9.73,63964.0
12278,-0.0,44500.0
11338,0.0,42792.0
24371,-14.02,57789.0
12839,-15.13,45127.0
11815,3.81,44010.0
2007,-8.18,28813.0
4997,-0.01,32911.0
7182,-0.0,35776.0
26877,6.99,60295.0
26059,6.06,59477.0
26247,5.55,59665.0
8587,10.84,37371.0
3827,0.0,31290.0
22881,-40.74,56299.0
4241,-7.08,32144.0
12850,-18.99,45137.0
11013,-0.04,42272.0
7472,-0.59,36066.0
25398,20.18,58816.0
27792,10.42,61210.0
21434,6.66,54852.0
9400,0.01,38208.0
10013,-0.41,39647.0
4784,-0.01,32698.0
26273,50.54,59691.0
19170,8.25,52588.0
15249,10.51,48033.0
7885,0.0,36495.0
5126,-5.69,33040.0
22017,-5.06,55435.0
18824,22.21,52242.0
19725,7.5,53143.0
23385,5.81,56803.0
2306,-5.05,29259.0
10892,-0.02,41689.0
26401,5.11,59819.0
2997,0.0,30037.0
11632,0.04,43820.0
27793,-14.01,61211.0
21963,-7.51,55381.0
2054,-10.43,28860.0
10040,-5.26,39684.0
5802,-0.01,33866.0
14683,3.61,47333.0
2672,0.01,29625.0
1586,0.02,28241.0
9489,-0.01,38298.0
5064,-0.0,32978.0
10930,-0.0,41727.0
18004,-17.34,51422.0
25544,14.53,58962.0
22283,-5.25,55701.0
30437,-26.36,63855.0
1305,2.59,27512.0
1499,0.19,28153.0
20053,11.13,53471.0
28840,8.59,62258.0
12634,-0.01,44916.0
12174,0.11,44394.0
20744,5.9,54162.0
24951,22.72,58369.0
20526,5.76,53944.0
16659,1.46,49971.0
25428,23.61,58846.0
2356,-9.81,29309.0
24646,10.26,58064.0
30105,15.25,63523.0
17173,21.33,50591.0
29706,-10.3,63124.0
23833,-9.74,57251.0
7041,-0.01,35617.0
15461,-0.42,48716.0
18988,-8.28,52406.0
6103,-0.01,34465.0
5873,0.01,34234.0
31575,-8.04,64993.0
20992,5.29,54410.0
5416,-3.52,33479.0
3960,-0.18,31424.0
1829,-0.0,28633.0
2582,-6.44,29535.0
13892,14.67,46206.0
29910,-10.53,63328.0
11396,-0.21,42851.0
